all_trees,class1,class2,class3,class4,class5,class6,class7,class8,class9,trees_cut,trees_reman,trees_seeds
9813,981.0,1508.0,215.0,1117.0,2017.0,1515.0,976.0,345.0,1139.0,3870,3208,714
8192,654.0,1252.1604411637,1432.0,387.0,1454.0,1683.0,816.0,226.0,288.0,2868,1942,629
8959,487.0,1033.028327162,1651.0,1192.0,635.0,1436.0,1457.0,682.0,387.0,3851,1892,702
9798,438.0,862.79009359983,1615.0,1458.0,1138.0,760.0,1303.0,1404.0,821.0,4150,2660,745
7993,433.0,708.79723604069,1388.0,1485.0,1483.0,1004.0,695.0,535.0,263.0,2422,3017,643
8742,433.0,683.01208135127,1272.0,1283.0,1618.0,1307.0,934.0,649.0,565.0,3338,2973,706
9561,433.0,683.43359739095,1308.0,1170.0,1451.0,1477.0,1190.0,908.0,943.0,4349,2723,775
7603,433.0,629.07148111411,1194.0,1208.0,1311.0,1340.0,1089.0,240.0,162.0,2650,2636,682
8315,433.0,640.73011603171,1152.0,1104.0,1348.0,1232.0,1229.0,929.0,251.0,3415,2591,741
9094,433.0,658.12726838471,1202.0,1066.0,1251.0,1261.0,1137.0,1211.0,879.0,4240,2463,807
